Dan	Morgan	told
had	caught	up
caught	up	with
up	with	the
with	the	outfit
the	outfit	shortly
outfit	shortly	after
shortly	after	the
after	the	Maguires
the	Maguires	joined
Maguires	joined	it
joined	it	,
it	,	which
,	which	had
which	had	been
had	been	at
been	at	midday
at	midday	.
midday	.	He'd
.	He'd	come
He'd	come	alone
come	alone	,
alone	,	without
,	without	his
without	his	wife
his	wife	and
wife	and	child
and	child	.
child	.	He'd
.	He'd	been
He'd	been	in
been	in	an
in	an	angry
an	angry	mood
angry	mood	:
mood	:	Conchita
:	Conchita	had
Conchita	had	thought
had	thought	his
thought	his	face
his	face	almost
face	almost	ugly
almost	ugly	with
ugly	with	the
with	the	anger
the	anger	in
anger	in	him
in	him	.
him	.	She
.	She	wondered
She	wondered	what
wondered	what	had
what	had	taken
had	taken	place
taken	place	in
place	in	town
in	town	,
town	,	between
,	between	him
between	him	and
him	and	his
and	his	wife
his	wife	.
wife	.	She
.	She	wished
She	wished	that
wished	that	she
that	she	could
she	could	talk
could	talk	to
talk	to	her
to	her	mother
her	mother	about
mother	about	it
about	it	.
it	.	Not
.	Not	that
Not	that	her
that	her	mother
her	mother	knew
mother	knew	what
knew	what	had
what	had	happened
had	happened	,
happened	,	but
,	but	they
but	they	could
they	could	speculate
could	speculate	upon
speculate	upon	it
upon	it	.
it	.	But
.	But	her
But	her	mother
her	mother	would
mother	would	rebuke
would	rebuke	her
rebuke	her	if
her	if	she
if	she	mentioned
she	mentioned	it
mentioned	it	,
it	,	and
,	and	say
and	say	that
say	that	it
that	it	was
it	was	none
was	none	of
none	of	her
of	her	concern
her	concern	.
concern	.	``
.	``	Pat
``	Pat	,
Pat	,	get
,	get	out
get	out	of
out	of	that
of	that	creek
that	creek	!
creek	!	!
!	!	You
!	You	too
You	too	,
too	,	Sean
,	Sean	!
Sean	!	!
!	!	Elena
!	Elena	,
Elena	,	you'll
,	you'll	get
you'll	get	mud
get	mud	all
mud	all	over
all	over	your
over	your	dress
your	dress	''
dress	''	!
''	!	!
!	!	Even
!	Even	as
Even	as	she
as	she	called
she	called	to
called	to	the
to	the	children
the	children	,
children	,	Conchita
,	Conchita	let
Conchita	let	her
let	her	gaze
her	gaze	seek
gaze	seek	Tom
seek	Tom	Brannon
Tom	Brannon	.
Brannon	.	Tomas
.	Tomas	,
Tomas	,	she
,	she	called
she	called	him
called	him	--
him	--	as
--	as	the
as	the	Mexican
the	Mexican	hands
Mexican	hands	did
hands	did	.
did	.	He
.	He	was
He	was	in
was	in	earnest
in	earnest	conversation
earnest	conversation	with
conversation	with	her
with	her	father
her	father	and
father	and	the
and	the	old
the	old	vaquero
old	vaquero	,
vaquero	,	Luis
,	Luis	Hernandez
Luis	Hernandez	.
Hernandez	.	Whatever
.	Whatever	they
Whatever	they	are
they	are	talking
are	talking	about
talking	about	?
about	?	?
?	?	Conchita
?	Conchita	wondered
Conchita	wondered	.
wondered	.	It
.	It	bothered
It	bothered	her
bothered	her	that
her	that	she
that	she	probably
she	probably	would
probably	would	never
would	never	know
never	know	.
know	.	Certainly
.	Certainly	,
Certainly	,	she
,	she	wouldn't
she	wouldn't	dare
wouldn't	dare	ask
dare	ask	her
ask	her	father
her	father	afterward
father	afterward	.
afterward	.	He
.	He	would
He	would	tell
would	tell	her
tell	her	not
her	not	to
not	to	pry
to	pry	into
pry	into	grownups'
into	grownups'	affairs
grownups'	affairs	--
affairs	--	as
--	as	though
as	though	she
though	she	were
she	were	a
were	a	little
a	little	kid
little	kid	like
kid	like	Elena
like	Elena	!
Elena	!	!
!	!	At
!	At	the
At	the	moment
the	moment	,
moment	,	the
,	the	three
the	three	men
three	men	were
men	were	not
were	not	saying
not	saying	much
saying	much	of
much	of	anything
of	anything	.
anything	.	They
.	They	were
They	were	sitting
were	sitting	on
sitting	on	their
on	their	heels
their	heels	,
heels	,	rider-fashion
,	rider-fashion	,
rider-fashion	,	over
,	over	by
over	by	the
by	the	still
the	still	empty
still	empty	calf
empty	calf	wagon
calf	wagon	.
wagon	.	Brannon
.	Brannon	was
Brannon	was	hunkered
was	hunkered	down
hunkered	down	with
down	with	his
with	his	broad
his	broad	back
broad	back	to
back	to	the
to	the	left
the	left	rear
left	rear	wheel
rear	wheel	,
wheel	,	with
,	with	the
with	the	other
the	other	two
other	two	facing
two	facing	him
facing	him	.
him	.	He
.	He	held
He	held	a
held	a	cigarette
a	cigarette	in
cigarette	in	his
in	his	right
his	right	hand
right	hand	.
hand	.	It
.	It	was
It	was	burning
was	burning	away
burning	away	,
away	,	forgotten
,	forgotten	.
forgotten	.	His
.	His	face
His	face	was
face	was	clouded
was	clouded	with
clouded	with	unhappiness
with	unhappiness	.
unhappiness	.	He'd
.	He'd	told
He'd	told	Hank
told	Hank	Maguire
Hank	Maguire	and
Maguire	and	Luis
and	Luis	Hernandez
Luis	Hernandez	about
Hernandez	about	his
about	his	wife's
his	wife's	refusal
wife's	refusal	to
refusal	to	come
to	come	with
come	with	him
with	him	and
him	and	about
and	about	what
about	what	he
what	he	now
he	now	intended
now	intended	to
intended	to	do
to	do	.
do	.	They
.	They	were
They	were	considering
were	considering	it
considering	it	gravely
it	gravely	,
gravely	,	neither
,	neither	seeming
neither	seeming	to
seeming	to	like
to	like	what
like	what	he
what	he	planned
he	planned	.
planned	.	Finally
.	Finally	Hernandez
Finally	Hernandez	said
Hernandez	said	,
said	,	``
,	``	I
``	I	could
I	could	offer
could	offer	you
offer	you	advice
you	advice	,
advice	,	Tomas
,	Tomas	,
Tomas	,	but
,	but	you
but	you	wouldn't
you	wouldn't	heed
wouldn't	heed	it
heed	it	''
it	''	.
''	.	``
.	``	Let's
``	Let's	hear
Let's	hear	it
hear	it	,
it	,	anyway
,	anyway	''
anyway	''	.
''	.	``
.	``	Wait
``	Wait	a
Wait	a	little
a	little	while
little	while	.
while	.	Let
.	Let	Senora
Let	Senora	Brannon
Senora	Brannon	live
Brannon	live	in
live	in	her
in	her	father's
her	father's	house
father's	house	for
house	for	a
for	a	time
a	time	.
time	.	Give
.	Give	her
Give	her	time
her	time	to
time	to	miss
to	miss	you
miss	you	.
you	.	Maybe
.	Maybe	she
Maybe	she	will
she	will	then
will	then	come
then	come	to
come	to	you
to	you	.
you	.	After
.	After	all
After	all	,
all	,	you
,	you	want
you	want	the
want	the	senora
the	senora	as
senora	as	much
as	much	as
much	as	you
as	you	want
you	want	the
want	the	boy
the	boy	.
boy	.	You
.	You	need
You	need	her
need	her	even
her	even	more
even	more	than
more	than	you
than	you	need
you	need	him
need	him	''
him	''	.
''	.	``
.	``	She
``	She	won't
She	won't	change
won't	change	her
change	her	mind
her	mind	''
mind	''	,
''	,	Brannon
,	Brannon	said
Brannon	said	.
said	.	``
.	``	John
``	John	Clayton
John	Clayton	will
Clayton	will	see
will	see	to
see	to	that
to	that	''
that	''	.
''	.	``
.	``	But
``	But	after
But	after	a
after	a	time
a	time	away
time	away	from
away	from	you
from	you	.
you	.	''
.	''	``
''	``	A
``	A	year
A	year	,
year	,	Luis
,	Luis	?
Luis	?	?
?	?	Five
?	Five	?
Five	?	?
?	?	Ten
?	Ten	?
Ten	?	?
?	?	How
?	How	long
How	long	should
long	should	I
should	I	wait
I	wait	''
wait	''	?
''	?	?
?	?	``
?	``	Maybe
``	Maybe	in
Maybe	in	a
in	a	year
a	year	,
year	,	Tomas
,	Tomas	.
Tomas	.	''
.	''	``
''	``	In
``	In	a
In	a	year
a	year	she'll
year	she'll	like
she'll	like	living
like	living	in
living	in	Clayton's
in	Clayton's	house
Clayton's	house	too
house	too	much
too	much	to
much	to	come
to	come	back
come	back	to
back	to	me
to	me	''
me	''	,
''	,	Brannon
,	Brannon	said
Brannon	said	flatly
said	flatly	.
flatly	.	``
.	``	And
``	And	the
And	the	boy
the	boy	will
boy	will	be
will	be	too
be	too	much
too	much	under
much	under	his
under	his	influence
his	influence	by
influence	by	then
by	then	.
then	.	I've
.	I've	got
I've	got	to
got	to	take
to	take	Danny
take	Danny	away
Danny	away	from
away	from	Clayton
from	Clayton	before
Clayton	before	I
before	I	lose
I	lose	him
lose	him	altogether
him	altogether	.
altogether	.	Hell
.	Hell	,
Hell	,	in
,	in	a
in	a	year
a	year	or
year	or	five
or	five	or
five	or	ten
or	ten	,
ten	,	the
,	the	boy
the	boy	will
boy	will	have
will	have	forgotten
have	forgotten	me
forgotten	me	--
me	--	his
--	his	own
his	own	father
own	father	''
father	''	!
''	!	!
!	!	``
!	``	But
``	But	to
But	to	take
to	take	him
take	him	and
him	and	leave
and	leave	his
leave	his	mother
his	mother	behind
mother	behind	is
behind	is	not
is	not	good
not	good	''
good	''	.
''	.	``
.	``	In
``	In	my
In	my	place
my	place	,
place	,	you'd
,	you'd	follow
you'd	follow	such
follow	such	advice
such	advice	as
advice	as	you
as	you	give
you	give	me
give	me	''
me	''	?
''	?	?
?	?	Hernandez
?	Hernandez	looked
Hernandez	looked	suddenly
looked	suddenly	uncertain
suddenly	uncertain	.
uncertain	.	``
.	``	That
``	That	I
That	I	can't
I	can't	answer
can't	answer	,
answer	,	for
,	for	I
for	I	can't
I	can't	imagine
can't	imagine	something
imagine	something	like
something	like	this
like	this	happening
this	happening	to
happening	to	me
to	me	.
me	.	Maybe
.	Maybe	I
Maybe	I	should
I	should	withdraw
should	withdraw	my
withdraw	my	advice
my	advice	--
advice	--	no
--	no	''
no	''	?
''	?	?
?	?	Brannon
?	Brannon	looked
Brannon	looked	at
looked	at	Hank
at	Hank	Maguire
Hank	Maguire	.
Maguire	.	``
.	``	And
``	And	you
And	you	?
you	?	?
?	?	What
?	What	would
What	would	you
would	you	do
you	do	in
do	in	my
in	my	place
my	place	''
place	''	?
''	?	?
?	?	Hank
?	Hank	shook
Hank	shook	his
shook	his	head
his	head	.
head	.	``
.	``	I
``	I	don't
I	don't	know
don't	know	,
know	,	Tom
,	Tom	.
Tom	.	Like
.	Like	Luis
Like	Luis	,
Luis	,	I
,	I	can't
I	can't	see
can't	see	something
see	something	like
something	like	this
like	this	happening
this	happening	to
happening	to	me
to	me	.
me	.	With
.	With	Maria
With	Maria	and
Maria	and	me
and	me	,
me	,	there's
,	there's	never
there's	never	any
never	any	problem
any	problem	.
problem	.	Where
.	Where	I
Where	I	go
I	go	,
go	,	she
,	she	goes
she	goes	--
goes	--	and
--	and	the
and	the	kids
the	kids	with
kids	with	us
with	us	.
us	.	You're
.	You're	going
You're	going	to
going	to	need
to	need	your
need	your	woman
your	woman	.
woman	.	And
.	And	the
And	the	boy
the	boy	will
boy	will	need
will	need	his
need	his	mother
his	mother	.
mother	.	If
.	If	you
If	you	take
you	take	the
take	the	one
the	one	,
one	,	you'd
,	you'd	better
you'd	better	take
better	take	both
take	both	''
both	''	.
''	.	Brannon
.	Brannon	shook
Brannon	shook	his
shook	his	head
his	head	.
head	.	``
.	``	I
``	I	won't
I	won't	force
won't	force	Beth
force	Beth	to
Beth	to	come
to	come	against
come	against	her
against	her	will
her	will	.
will	.	But
.	But	I'm
But	I'm	going
I'm	going	to
going	to	have
to	have	my
have	my	son
my	son	''
son	''	.
''	.	They
.	They	were
They	were	silent
were	silent	for
silent	for	a
for	a	little
a	little	while
little	while	,
while	,	each
,	each	looking
each	looking	glum
looking	glum	.
glum	.	Finally
.	Finally	Luis
Finally	Luis	Hernandez
Luis	Hernandez	said
Hernandez	said	,
said	,	``
,	``	What
``	What	must
What	must	be
must	be	,
be	,	must
,	must	be
must	be	.
be	.	I
.	I	am
I	am	with
am	with	you
with	you	,
you	,	of
,	of	course
of	course	,
course	,	Tomas
,	Tomas	''
Tomas	''	.
''	.	And
.	And	Hank
And	Hank	Maguire
Hank	Maguire	added
Maguire	added	,
added	,	``
,	``	So
``	So	am
So	am	I
am	I	,
I	,	Tom
,	Tom	''
Tom	''	.
''	.	``
.	``	All
``	All	right
All	right	''
right	''	,
''	,	Brannon
,	Brannon	said
Brannon	said	,
said	,	rising
,	rising	.
rising	.	``
.	``	We'll
``	We'll	ride
We'll	ride	out
ride	out	as
out	as	soon
as	soon	as
soon	as	we've
as	we've	had
we've	had	chuck
had	chuck	''
chuck	''	.
''	.	Brannon
.	Brannon	timed
Brannon	timed	it
timed	it	so
it	so	that
so	that	they
that	they	rode
they	rode	in
rode	in	an
in	an	hour
an	hour	after
hour	after	nightfall
after	nightfall	.
nightfall	.	They
.	They	had
They	had	for
had	for	cover
for	cover	both
cover	both	darkness
both	darkness	and
darkness	and	a
and	a	summer
a	summer	storm
summer	storm	.
storm	.	During
.	During	much
During	much	of
much	of	the
of	the	fifteen-mile
the	fifteen-mile	ride
fifteen-mile	ride	they
ride	they	had
they	had	watched
had	watched	a
watched	a	lurid
a	lurid	display
lurid	display	of
display	of	lightning
of	lightning	in
lightning	in	the
in	the	sky
the	sky	to
sky	to	the
to	the	east
the	east	.
east	.	Later
.	Later	,
Later	,	they'd
,	they'd	heard
they'd	heard	the
heard	the	rumble
the	rumble	of
rumble	of	thunder
of	thunder	and
thunder	and	then
and	then	,
then	,	just
,	just	outside
just	outside	Rockfork
outside	Rockfork	,
Rockfork	,	they
,	they	ran
they	ran	into
ran	into	rain
into	rain	.
rain	.	Those
.	Those	who
Those	who	had
who	had	slickers
had	slickers	donned
slickers	donned	them
donned	them	.
them	.	The
.	The	others
The	others	put
others	put	on
put	on	old
on	old	coats
old	coats	or
coats	or	ducking
or	ducking	jackets
ducking	jackets	,
jackets	,	whichever
,	whichever	they
whichever	they	carried
they	carried	behind
carried	behind	their
behind	their	saddle
their	saddle	cantles
saddle	cantles	.
cantles	.	There
.	There	were
There	were	seven
were	seven	of
seven	of	them
of	them	,
them	,	enough
,	enough	for
enough	for	a
for	a	show
a	show	of
show	of	strength
of	strength	--
strength	--	to
--	to	run
to	run	a
run	a	bluff
a	bluff	.
bluff	.	It
.	It	was
It	was	to
was	to	be
to	be	nothing
be	nothing	more
nothing	more	than
more	than	that
than	that	.
that	.	There
.	There	was
There	was	to
was	to	be
to	be	no
be	no	gunplay
no	gunplay	.
gunplay	.	If
.	If	the
If	the	bluff
the	bluff	failed
bluff	failed	and
failed	and	they
and	they	ran
they	ran	into
ran	into	trouble
into	trouble	,
trouble	,	Brannon
,	Brannon	had
Brannon	had	told
had	told	the
told	the	others
the	others	,
others	,	they
,	they	would
they	would	withdraw
would	withdraw	--
withdraw	--	and
--	and	he
and	he	would
he	would	come
would	come	after
come	after	his
after	his	son
his	son	another
son	another	time
another	time	.
time	.	He
.	He	didn't
He	didn't	want
didn't	want	to
want	to	put
to	put	himself
put	himself	outside
himself	outside	the
outside	the	law
the	law	.
law	.	With
.	With	him
With	him	were
him	were	Hank
were	Hank	Maguire
Hank	Maguire	,
Maguire	,	Luis
,	Luis	Hernandez
Luis	Hernandez	,
Hernandez	,	and
,	and	Luis's
and	Luis's	son
Luis's	son	Pedro
son	Pedro	.
Pedro	.	The
.	The	Ramirez
The	Ramirez	brothers
Ramirez	brothers	were
brothers	were	also
were	also	along
also	along	.
along	.	The
.	The	seventh
The	seventh	man
seventh	man	was
man	was	Red
was	Red	Hogan
Red	Hogan	,
Hogan	,	a
,	a	wiry
a	wiry	little
wiry	little	puncher
little	puncher	with
puncher	with	a
with	a	wild
a	wild	streak
wild	streak	and
streak	and	a
and	a	liking
a	liking	for
liking	for	hell-raising
for	hell-raising	.
hell-raising	.	They
.	They	were
They	were	all
were	all	good
all	good	men
good	men	.
men	.	It
.	It	was
It	was	dark
was	dark	early
dark	early	,
early	,	because
,	because	of
because	of	the
of	the	storm
the	storm	.
storm	.	Also
.	Also	because
Also	because	of
because	of	the
of	the	storm
the	storm	,
storm	,	the
,	the	streets
the	streets	of
streets	of	Rockfork
of	Rockfork	were
Rockfork	were	deserted
were	deserted	.
deserted	.	Lighted
.	Lighted	windows
Lighted	windows	glowed
windows	glowed	jewel-bright
glowed	jewel-bright	through
jewel-bright	through	the
through	the	downpour
the	downpour	.
downpour	.	They
.	They	reined
They	reined	in
reined	in	before
in	before	the
before	the	town
the	town	marshal's
town	marshal's	office
marshal's	office	,
office	,	a
,	a	box-sized
a	box-sized	building
box-sized	building	on
building	on	Main
on	Main	Street
Main	Street	.
Street	.	A
.	A	lamp
A	lamp	burned
lamp	burned	inside
burned	inside	,
inside	,	but
,	but	Brannon
but	Brannon	,
Brannon	,	peering
,	peering	through
peering	through	the
through	the	window
the	window	,
window	,	saw
,	saw	that
saw	that	the
that	the	office
the	office	was
office	was	empty
was	empty	.
empty	.	He'd
.	He'd	hoped
He'd	hoped	to
hoped	to	catch
to	catch	Jesse
catch	Jesse	Macklin
Jesse	Macklin	there
Macklin	there	.
there	.	``
.	``	Probably
``	Probably	just
Probably	just	stepped
just	stepped	out
stepped	out	''
out	''	,
''	,	he
,	he	said
he	said	.
said	.	``
.	``	Maybe
``	Maybe	to
Maybe	to	have
to	have	supper
have	supper	.
supper	.	Red
.	Red	,
Red	,	come
,	come	along
come	along	.
along	.	The
.	The	rest
The	rest	of
rest	of	you
of	you	wait
you	wait	here
wait	here	''
here	''	.
''	.	With
.	With	Red
With	Red	Hogan
Red	Hogan	,
Hogan	,	he
,	he	rode
he	rode	to
rode	to	the
to	the	Welcome
the	Welcome	Cafe
Welcome	Cafe	.
Cafe	.	Hogan
.	Hogan	got
Hogan	got	down
got	down	from
down	from	the
from	the	saddle
the	saddle	and
saddle	and	had
and	had	a
had	a	look
a	look	inside
look	inside	.
inside	.	``
.	``	Not
``	Not	there
Not	there	''
there	''	,
''	,	he
,	he	said
he	said	,
said	,	getting
,	getting	back
getting	back	onto
back	onto	his
onto	his	horse
his	horse	.
horse	.	``
.	``	Maybe
``	Maybe	he's
Maybe	he's	at
he's	at	the
at	the	hotel
the	hotel	''
hotel	''	.
''	.	They
.	They	rode
They	rode	to
rode	to	the
to	the	Rockfork
the	Rockfork	House
Rockfork	House	,
House	,	a
,	a	little
a	little	farther
little	farther	along
farther	along	the
along	the	opposite
the	opposite	side
opposite	side	of
side	of	the
of	the	street
the	street	.
street	.	They
.	They	reined
They	reined	in
reined	in	there
in	there	,
there	,	Brannon
,	Brannon	remaining
Brannon	remaining	in
remaining	in	the
in	the	saddle
the	saddle	while
saddle	while	Hogan
while	Hogan	went
Hogan	went	to
went	to	look
to	look	for
look	for	Jesse
for	Jesse	Macklin
Jesse	Macklin	in
Macklin	in	the
in	the	hotel
the	hotel	dining
hotel	dining	room
dining	room	.
room	.	Brannon
.	Brannon	had
Brannon	had	no
had	no	slicker
no	slicker	.
slicker	.	He'd
.	He'd	put
He'd	put	on
put	on	his
on	his	old
his	old	brown
old	brown	corduroy
brown	corduroy	coat
corduroy	coat	and
coat	and	it
and	it	was
it	was	already
was	already	soaked
already	soaked	.
soaked	.	But
.	But	he
But	he	felt
he	felt	no
felt	no	physical
no	physical	discomfort
physical	discomfort	.
discomfort	.	He
.	He	was
He	was	only
was	only	vaguely
only	vaguely	aware
vaguely	aware	of
aware	of	the
of	the	sluicing
the	sluicing	rain
sluicing	rain	.
rain	.	He
.	He	hardly
He	hardly	noticed
hardly	noticed	the
noticed	the	blue-green
the	blue-green	flashes
blue-green	flashes	of
flashes	of	lightning
of	lightning	and
lightning	and	the
and	the	hard
the	hard	claps
hard	claps	of
claps	of	thunder
of	thunder	.
thunder	.	Hogan
.	Hogan	reappeared
Hogan	reappeared	,
reappeared	,	stopped
,	stopped	on
stopped	on	the
on	the	hotel
the	hotel	porch
hotel	porch	,
porch	,	lifted
,	lifted	a
lifted	a	hand
a	hand	in
hand	in	signal
in	signal	.
signal	.	Brannon
.	Brannon	dismounted
Brannon	dismounted	and
dismounted	and	climbed
and	climbed	the
climbed	the	steps
the	steps	.
steps	.	``
.	``	He's
``	He's	finished
He's	finished	eating
finished	eating	''
eating	''	,
''	,	Hogan
,	Hogan	said
Hogan	said	.
said	.	``
.	``	Sitting
``	Sitting	with
Sitting	with	a
with	a	cup
a	cup	of
cup	of	coffee
of	coffee	now
coffee	now	.
now	.	It
.	It	shouldn't
It	shouldn't	be
shouldn't	be	long
be	long	''
long	''	.
''	.	It
.	It	seemed
It	seemed	long
seemed	long	,
long	,	at
,	at	least
at	least	to
least	to	Tom
